project,hours
culture-and-management,1631.0799999999992
datascience,617.4
engineering,288.67999999999995
events,591.82
external-affairs,3140.0650000000005
finance-and-marketing,3488.449999999999
internal-affairs,4314.38
interns,202.5
machine-learning,2265.2200000000007
misc,135.68
project-00,2542.3200000000006
project-01,174.88
project-02,3.0
project-03,12.0
project-04,211.25
project-05,396.78
project-06,956.45
project-07,146.64999999999998
project-08,4.4
project-09,13.879999999999999
project-10,1876.6899999999991
project-11,146.24
project-12,1.5
project-13,970.75
project-14,4.0
project-15,1.5
project-16,568.5
project-17,67.75
project-18,4.5
project-19,450.22
project-20,1449.95
project-21,1.0
project-22,16.41
project-23,159.5
project-24,7.0
project-25,825.2699999999998
project-26,235.65
project-27,355.56000000000006
project-28,58.25
project-29,23.59
project-30,964.99
project-31,117.41999999999999
project-32,323.73000000000013
project-33,50.75
project-34,11.0
project-35,11.0
project-36,298.18
project-37,24.0
project-38,275.28999999999996
project-39,2.0
project-40,2187.0
project-41,4.0
project-42,2.0
project-43,949.3899999999996
project-44,33.47
project-45,12.75
project-46,266.57
project-47,682.75
project-48,188.0
project-49,3.73
project-50,4.25
project-51,437.09
project-52,62.75
project-53,17.75
project-54,36.25
project-55,756.75
project-56,2.0
project-57,22.409999999999997
project-58,3.25
project-59,27.28
project-60,0.5
project-61,0.25
project-62,13.19
project-63,87.5
project-64,849.31
project-65,892.1700000000001
project-66,69.66
project-67,4.0
project-68,899.64
project-69,167.42
project-70,20.47
project-71,5.0
project-72,154.75
project-73,812.96
project-74,10.0
recruitment,692.66
security,42.47
transit,426.8399999999999
